table	column	type	nullable	default	key	extra
account_ledgers	id	int(11)	NO		PRI	auto_increment
account_ledgers	name	varchar(160)	NO		UNI	
account_ledgers	group_name	varchar(80)	YES	'General'		
account_ledgers	opening_dr	decimal(12,2)	YES	0.00		
account_ledgers	opening_cr	decimal(12,2)	YES	0.00		
account_ledgers	is_system	tinyint(1)	YES	0		
account_ledgers	created_at	timestamp	NO	current_timestamp()		
app_release_versions	version_key	varchar(80)	NO		PRI	
app_release_versions	version_value	varchar(160)	NO			
app_release_versions	notes	varchar(255)	YES	NULL		
app_release_versions	updated_at	timestamp	NO	current_timestamp()		on update current_timestamp()
app_settings	setting_key	varchar(80)	NO		PRI	
app_settings	setting_value	text	YES	NULL		
app_settings	updated_at	timestamp	NO	current_timestamp()		on update current_timestamp()
audit_logs	id	int(11)	NO		PRI	auto_increment
audit_logs	user_id	int(11)	YES	NULL		
audit_logs	user_name	varchar(120)	YES	NULL		
audit_logs	action	varchar(80)	NO			
audit_logs	ref_type	varchar(50)	YES	NULL		
audit_logs	ref_no	varchar(80)	YES	NULL		
audit_logs	details	text	YES	NULL		
audit_logs	ip_address	varchar(60)	YES	NULL		
audit_logs	created_at	timestamp	NO	current_timestamp()	MUL	
backup_logs	id	int(11)	NO		PRI	auto_increment
backup_logs	action	varchar(40)	NO			
backup_logs	file_path	varchar(500)	YES	NULL		
backup_logs	status	varchar(30)	NO			
backup_logs	message	text	YES	NULL		
backup_logs	created_at	timestamp	NO	current_timestamp()	MUL	
bank_reconciliations	id	bigint(20)	NO		PRI	auto_increment
bank_reconciliations	ledger_posting_id	bigint(20)	NO		UNI	
bank_reconciliations	voucher_id	bigint(20)	NO			
bank_reconciliations	bank_ledger	varchar(180)	NO		MUL	
bank_reconciliations	voucher_date	date	NO			
bank_reconciliations	source_ref	varchar(80)	YES	NULL		
bank_reconciliations	debit	decimal(14,2)	YES	0.00		
bank_reconciliations	credit	decimal(14,2)	YES	0.00		
bank_reconciliations	clearance_status	varchar(30)	YES	'Uncleared'		
bank_reconciliations	cleared_date	date	YES	NULL	MUL	
bank_reconciliations	bank_reference	varchar(120)	YES	NULL		
bank_reconciliations	notes	varchar(255)	YES	NULL		
bank_reconciliations	created_by	bigint(20)	YES	NULL		
bank_reconciliations	created_at	timestamp	NO	current_timestamp()		
bank_reconciliations	updated_at	datetime	YES	NULL		
branches	id	bigint(20)	NO		PRI	auto_increment
branches	name	varchar(120)	NO		UNI	
branches	code	varchar(40)	YES	NULL		
branches	gstin	varchar(20)	YES	NULL		
branches	state	varchar(80)	YES	NULL		
branches	address	text	YES	NULL		
branches	is_default	tinyint(1)	YES	0		
branches	is_active	tinyint(1)	YES	1		
branches	notes	varchar(255)	YES	NULL		
branches	created_at	timestamp	NO	current_timestamp()		
business_masters	id	int(11)	NO		PRI	auto_increment
business_masters	business_type_code	varchar(80)	NO		MUL	
business_masters	master_type	varchar(80)	NO			
business_masters	code	varchar(80)	YES	NULL		
business_masters	name	varchar(180)	NO			
business_masters	phone	varchar(30)	YES	NULL		
business_masters	email	varchar(160)	YES	NULL		
business_masters	address	text	YES	NULL		
business_masters	notes	text	YES	NULL		
business_masters	is_active	tinyint(1)	YES	1		
business_masters	created_at	timestamp	NO	current_timestamp()		
business_masters	supplier_id	int(11)	YES	NULL	MUL	
business_masters	contact_name	varchar(120)	YES	NULL		
business_masters	website	varchar(160)	YES	NULL		
business_masters	gstin	varchar(20)	YES	NULL		
business_registers	id	int(11)	NO		PRI	auto_increment
business_registers	business_type_code	varchar(80)	NO			
business_registers	record_type	varchar(80)	NO			
business_registers	record_no	varchar(80)	YES	NULL		
business_registers	record_date	date	NO			
business_registers	party_name	varchar(180)	YES	NULL		
business_registers	phone	varchar(30)	YES	NULL		
business_registers	reference	varchar(180)	YES	NULL		
business_registers	status	varchar(60)	YES	'Open'		
business_registers	amount	decimal(12,2)	YES	0.00		
business_registers	due_date	date	YES	NULL		
business_registers	details_json	mediumtext	YES	NULL		
business_registers	notes	text	YES	NULL		
business_registers	created_at	timestamp	NO	current_timestamp()		
ca_export_logs	id	bigint(20)	NO		PRI	auto_increment
ca_export_logs	company_id	int(11)	YES	NULL		
ca_export_logs	company_name	varchar(180)	YES	NULL		
ca_export_logs	financial_year_id	int(11)	YES	NULL		
ca_export_logs	financial_year_label	varchar(40)	YES	NULL		
ca_export_logs	closing_period_id	bigint(20)	YES	NULL		
ca_export_logs	closing_type	varchar(30)	YES	NULL		
ca_export_logs	from_date	date	NO		MUL	
ca_export_logs	to_date	date	NO			
ca_export_logs	ca_email	varchar(160)	NO			
ca_export_logs	export_format	varchar(20)	NO			
ca_export_logs	file_path	varchar(500)	NO			
ca_export_logs	email_status	varchar(30)	YES	'Pending'		
ca_export_logs	email_message	text	YES	NULL		
ca_export_logs	created_by	bigint(20)	YES	NULL		
ca_export_logs	created_by_name	varchar(120)	YES	NULL		
ca_export_logs	created_at	timestamp	NO	current_timestamp()		
ca_export_logs	itr_form	varchar(20)	YES	'ca_decide'		
ca_export_logs	assessment_year	varchar(20)	YES	NULL		
ca_export_logs	schema_version	varchar(40)	YES	NULL		
ca_export_logs	close_decision	varchar(30)	YES	'not_selected'		
ca_json_templates	id	bigint(20)	NO		PRI	auto_increment
ca_json_templates	template_name	varchar(160)	NO			
ca_json_templates	sample_file_name	varchar(255)	NO			
ca_json_templates	sample_json	mediumtext	NO			
ca_json_templates	mapping_json	mediumtext	YES	NULL		
ca_json_templates	is_active	tinyint(1)	YES	1	MUL	
ca_json_templates	created_by	bigint(20)	YES	NULL		
ca_json_templates	created_by_name	varchar(120)	YES	NULL		
ca_json_templates	created_at	timestamp	NO	current_timestamp()		
ca_json_templates	updated_at	datetime	YES	NULL		
ca_json_templates	last_used_at	datetime	YES	NULL		
closing_periods	id	bigint(20)	NO		PRI	auto_increment
closing_periods	company_id	int(11)	YES	NULL		
closing_periods	company_name	varchar(180)	YES	NULL		
closing_periods	financial_year_id	int(11)	YES	NULL		
closing_periods	financial_year_label	varchar(40)	YES	NULL		
closing_periods	closing_type	varchar(30)	NO		MUL	
closing_periods	period_label	varchar(80)	NO			
closing_periods	from_date	date	NO		MUL	
closing_periods	to_date	date	NO			
closing_periods	status	varchar(30)	YES	'Closed'		
closing_periods	backup_path	varchar(500)	YES	NULL		
closing_periods	export_path	varchar(500)	YES	NULL		
closing_periods	export_format	varchar(20)	YES	NULL		
closing_periods	ca_email	varchar(160)	YES	NULL		
closing_periods	remarks	text	YES	NULL		
closing_periods	reopened_reason	text	YES	NULL		
closing_periods	closed_by	bigint(20)	YES	NULL		
closing_periods	closed_by_name	varchar(120)	YES	NULL		
closing_periods	closed_at	datetime	YES	NULL		
closing_periods	reopened_by	bigint(20)	YES	NULL		
closing_periods	reopened_by_name	varchar(120)	YES	NULL		
closing_periods	reopened_at	datetime	YES	NULL		
closing_periods	created_at	timestamp	NO	current_timestamp()		
closing_periods	updated_at	datetime	YES	NULL		
company	id	int(11)	NO		PRI	auto_increment
company	name	varchar(160)	NO			
company	gstin	varchar(20)	YES	NULL		
company	phone	varchar(30)	YES	NULL		
company	email	varchar(160)	YES	NULL		
company	address	text	YES	NULL		
company	state	varchar(80)	YES	NULL		
company	invoice_prefix	varchar(20)	YES	'PRM'		
company	logo_path	varchar(255)	YES	NULL		
company	upi_id	varchar(120)	YES	NULL		
company	payment_qr_path	varchar(255)	YES	NULL		
company	bank	text	YES	NULL		
company	owner_name	varchar(160)	YES	NULL		
company	business_type_code	varchar(80)	YES	'retail_supermarket'		
company	invoice_template_code	varchar(80)	YES	'retail_supermarket'		
company	subscription_plan_code	varchar(80)	YES	'basic'		
company	pan	varchar(20)	YES	NULL		
company	fssai_no	varchar(40)	YES	NULL		
company	drug_license_no	varchar(80)	YES	NULL		
company	website	varchar(160)	YES	NULL		
company	business_name	varchar(180)	YES	NULL		
company	mobile	varchar(30)	YES	NULL		
company	phone_alt	varchar(30)	YES	NULL		
company	city	varchar(80)	YES	NULL		
company	country	varchar(80)	YES	NULL		
company	pincode	varchar(20)	YES	NULL		
company	header_image_path	varchar(255)	YES	NULL		
company	footer_image_path	varchar(255)	YES	NULL		
company	other_registrations	text	YES	NULL		
cost_centers	id	bigint(20)	NO		PRI	auto_increment
cost_centers	name	varchar(120)	NO		UNI	
cost_centers	code	varchar(40)	YES	NULL		
cost_centers	parent_id	bigint(20)	YES	NULL		
cost_centers	is_active	tinyint(1)	YES	1		
cost_centers	notes	varchar(255)	YES	NULL		
cost_centers	created_at	timestamp	NO	current_timestamp()		
customers	id	int(11)	NO		PRI	auto_increment
customers	name	varchar(160)	NO		MUL	
customers	gstin	varchar(20)	YES	NULL	MUL	
customers	phone	varchar(30)	YES	NULL	MUL	
customers	area	varchar(120)	YES	NULL		
customers	address	text	YES	NULL		
customers	state	varchar(80)	YES	NULL		
customers	balance	decimal(12,2)	YES	0.00		
customers	created_at	timestamp	NO	current_timestamp()		
customers	contact_person	varchar(120)	YES	NULL		
customers	place_of_supply	varchar(120)	YES	NULL		
customers	fssai_no	varchar(40)	YES	NULL		
customers	drug_license_no	varchar(80)	YES	NULL		
customers	gst_treatment	varchar(40)	YES	'Regular'		
customers	reverse_charge_applicable	tinyint(1)	YES	0		
customers	shipping_address	text	YES	NULL		
data_maintenance_logs	id	int(11)	NO		PRI	auto_increment
data_maintenance_logs	operation	varchar(60)	NO			
data_maintenance_logs	status	varchar(30)	NO			
data_maintenance_logs	backup_path	varchar(500)	YES	NULL		
data_maintenance_logs	archive_path	varchar(500)	YES	NULL		
data_maintenance_logs	report_path	varchar(500)	YES	NULL		
data_maintenance_logs	records_exported	int(11)	YES	0		
data_maintenance_logs	records_deleted	int(11)	YES	0		
data_maintenance_logs	created_by	varchar(120)	YES	NULL		
data_maintenance_logs	details_json	mediumtext	YES	NULL		
data_maintenance_logs	created_at	timestamp	NO	current_timestamp()		
data_maintenance_opening_balances	id	int(11)	NO		PRI	auto_increment
data_maintenance_opening_balances	operation_id	int(11)	YES	NULL		
data_maintenance_opening_balances	balance_date	date	NO			
data_maintenance_opening_balances	balance_type	varchar(40)	NO		MUL	
data_maintenance_opening_balances	ref_id	int(11)	YES	NULL		
data_maintenance_opening_balances	ref_name	varchar(180)	YES	NULL		
data_maintenance_opening_balances	balance_qty	decimal(14,3)	YES	0.000		
data_maintenance_opening_balances	balance_amount	decimal(14,2)	YES	0.00		
data_maintenance_opening_balances	details_json	mediumtext	YES	NULL		
data_maintenance_opening_balances	created_at	timestamp	NO	current_timestamp()		
