table	index	non_unique	seq	column
account_ledgers	name	0	1	name
account_ledgers	PRIMARY	0	1	id
app_release_versions	PRIMARY	0	1	version_key
app_settings	PRIMARY	0	1	setting_key
audit_logs	audit_logs_created_idx	1	1	created_at
audit_logs	idx_audit_created	1	1	created_at
audit_logs	PRIMARY	0	1	id
backup_logs	idx_backup_logs_created	1	1	created_at
backup_logs	PRIMARY	0	1	id
bank_reconciliations	bank_reconciliations_cleared_idx	1	1	cleared_date
bank_reconciliations	bank_reconciliations_ledger_status_idx	1	1	bank_ledger
bank_reconciliations	bank_reconciliations_ledger_status_idx	1	2	clearance_status
bank_reconciliations	bank_reconciliations_ledger_status_idx	1	3	voucher_date
bank_reconciliations	bank_reconciliations_posting_unique	0	1	ledger_posting_id
bank_reconciliations	ledger_posting_id	0	1	ledger_posting_id
bank_reconciliations	PRIMARY	0	1	id
branches	branches_name_unique	0	1	name
branches	name	0	1	name
branches	PRIMARY	0	1	id
business_masters	business_masters_supplier_idx	1	1	supplier_id
business_masters	business_masters_supplier_idx	1	2	master_type
business_masters	business_master_unique	0	1	business_type_code
business_masters	business_master_unique	0	2	master_type
business_masters	business_master_unique	0	3	name
business_masters	PRIMARY	0	1	id
business_registers	PRIMARY	0	1	id
ca_export_logs	ca_export_period_idx	1	1	from_date
ca_export_logs	ca_export_period_idx	1	2	to_date
ca_export_logs	ca_export_period_idx	1	3	export_format
ca_export_logs	PRIMARY	0	1	id
ca_json_templates	ca_json_templates_active_idx	1	1	is_active
ca_json_templates	ca_json_templates_active_idx	1	2	template_name
ca_json_templates	PRIMARY	0	1	id
closing_periods	closing_period_lookup	1	1	from_date
closing_periods	closing_period_lookup	1	2	to_date
closing_periods	closing_period_lookup	1	3	status
closing_periods	closing_period_type_idx	1	1	closing_type
closing_periods	closing_period_type_idx	1	2	status
closing_periods	PRIMARY	0	1	id
company	PRIMARY	0	1	id
cost_centers	cost_centers_name_unique	0	1	name
cost_centers	name	0	1	name
cost_centers	PRIMARY	0	1	id
customers	customers_gstin_idx	1	1	gstin
customers	customers_name_idx	1	1	name
customers	customers_phone_idx	1	1	phone
customers	PRIMARY	0	1	id
data_maintenance_logs	PRIMARY	0	1	id
data_maintenance_opening_balances	data_maintenance_balance_lookup	1	1	balance_type
data_maintenance_opening_balances	data_maintenance_balance_lookup	1	2	balance_date
data_maintenance_opening_balances	data_maintenance_balance_lookup	1	3	ref_id
data_maintenance_opening_balances	PRIMARY	0	1	id
dev_business_types	code	0	1	code
dev_business_types	PRIMARY	0	1	id
dev_companies	PRIMARY	0	1	id
dev_company_modules	dev_company_module_unique	0	1	company_id
dev_company_modules	dev_company_module_unique	0	2	module_code
dev_company_modules	PRIMARY	0	1	id
dev_invoice_templates	code	0	1	code
dev_invoice_templates	PRIMARY	0	1	id
dev_login_history	PRIMARY	0	1	id
dev_modules	code	0	1	code
dev_modules	PRIMARY	0	1	id
dev_notifications	PRIMARY	0	1	id
dev_subscription_plans	code	0	1	code
dev_subscription_plans	PRIMARY	0	1	id
dispatch_returns	dispatch_returns_date_idx	1	1	return_date
dispatch_returns	dispatch_returns_date_idx	1	2	status
dispatch_returns	dispatch_returns_source_idx	1	1	source_table
dispatch_returns	dispatch_returns_source_idx	1	2	source_id
dispatch_returns	PRIMARY	0	1	id
dispatch_returns	return_no	0	1	return_no
dispatch_return_items	dispatch_return_items_return_idx	1	1	dispatch_return_id
dispatch_return_items	dispatch_return_items_source_idx	1	1	source_table
dispatch_return_items	dispatch_return_items_source_idx	1	2	source_id
dispatch_return_items	dispatch_return_items_source_idx	1	3	source_item_id
dispatch_return_items	PRIMARY	0	1	id
document_archive_logs	document_archive_created_idx	1	1	created_at
document_archive_logs	document_archive_doc_idx	1	1	document_type
document_archive_logs	document_archive_doc_idx	1	2	document_no
document_archive_logs	document_archive_print_lookup_idx	1	1	module
document_archive_logs	document_archive_print_lookup_idx	1	2	document_type
document_archive_logs	document_archive_print_lookup_idx	1	3	document_no
document_archive_logs	document_archive_print_lookup_idx	1	4	status
document_archive_logs	document_archive_print_lookup_idx	1	5	id
document_archive_logs	document_archive_status_created_idx	1	1	status
document_archive_logs	document_archive_status_created_idx	1	2	created_at
document_archive_logs	PRIMARY	0	1	id
einvoices	PRIMARY	0	1	id
einvoices	sale_id	0	1	sale_id
eway_bills	PRIMARY	0	1	id
eway_bills	sale_id	0	1	sale_id
expenses	expense_no	0	1	expense_no
expenses	PRIMARY	0	1	id
expense_ledgers	name	0	1	name
expense_ledgers	PRIMARY	0	1	id
financial_periods	financial_period_date_idx	1	1	start_date
financial_periods	financial_period_date_idx	1	2	end_date
financial_periods	financial_period_date_idx	1	3	is_locked
financial_periods	financial_period_unique	0	1	financial_year_id
financial_periods	financial_period_unique	0	2	period_type
financial_periods	financial_period_unique	0	3	start_date
financial_periods	financial_period_unique	0	4	end_date
financial_periods	PRIMARY	0	1	id
financial_years	financial_year_dates_unique	0	1	start_date
financial_years	financial_year_dates_unique	0	2	end_date
financial_years	label	0	1	label
financial_years	PRIMARY	0	1	id
gst_adjustments	adjustment_no	0	1	adjustment_no
gst_adjustments	gst_adjustments_date_idx	1	1	adjustment_date
gst_adjustments	gst_adjustments_date_idx	1	2	status
gst_adjustments	gst_adjustments_no_unique	0	1	adjustment_no
gst_adjustments	gst_adjustments_period_idx	1	1	period_from
gst_adjustments	gst_adjustments_period_idx	1	2	period_to
gst_adjustments	gst_adjustments_period_idx	1	3	status
gst_adjustments	gst_adjustments_voucher_idx	1	1	voucher_id
gst_adjustments	PRIMARY	0	1	id
gst_api_logs	PRIMARY	0	1	id
gst_itc_reconciliations	gst_itc_reco_period_status_idx	1	1	return_period
gst_itc_reconciliations	gst_itc_reco_period_status_idx	1	2	match_status
gst_itc_reconciliations	gst_itc_reco_supplier_invoice_idx	1	1	supplier_gstin
gst_itc_reconciliations	gst_itc_reco_supplier_invoice_idx	1	2	invoice_no
gst_itc_reconciliations	gst_itc_reco_unique	0	1	source_type
gst_itc_reconciliations	gst_itc_reco_unique	0	2	return_period
gst_itc_reconciliations	gst_itc_reco_unique	0	3	supplier_gstin
gst_itc_reconciliations	gst_itc_reco_unique	0	4	invoice_no
gst_itc_reconciliations	gst_itc_reco_unique	0	5	invoice_date
gst_itc_reconciliations	PRIMARY	0	1	id
gst_postings	gst_postings_branch_period_idx	1	1	branch_id
gst_postings	gst_postings_branch_period_idx	1	2	voucher_date
gst_postings	gst_postings_branch_period_idx	1	3	input_output
gst_postings	gst_postings_period_idx	1	1	voucher_date
gst_postings	gst_postings_period_idx	1	2	input_output
gst_postings	gst_postings_period_idx	1	3	tax_rate
gst_postings	gst_postings_source_idx	1	1	source_table
gst_postings	gst_postings_source_idx	1	2	source_id
gst_postings	gst_postings_voucher_idx	1	1	voucher_id
gst_postings	PRIMARY	0	1	id
