table	estimated_rows
account_ledgers	30
app_release_versions	0
app_settings	25
audit_logs	885
backup_logs	154
bank_reconciliations	0
branches	3
business_masters	23
business_registers	0
ca_export_logs	2
ca_json_templates	0
closing_periods	0
company	1
cost_centers	1
customers	13
data_maintenance_logs	0
data_maintenance_opening_balances	0
dev_business_types	15
dev_companies	4
dev_company_modules	65
dev_invoice_templates	148
dev_login_history	453
dev_modules	17
dev_notifications	0
dev_subscription_plans	5
dispatch_returns	2
dispatch_return_items	3
document_archive_logs	233
einvoices	1
eway_bills	1
expenses	2
expense_ledgers	10
financial_periods	0
financial_years	3
gst_adjustments	0
gst_api_logs	0
gst_itc_reconciliations	0
gst_postings	152
gst_return_filings	0
items	63
item_batches	38
item_categories	55
journal_entries	1
ledger_groups	22
ledger_postings	302
license	6
license_renewal_history	6
order_documents	53
order_document_items	104
payments	3
print_batches	2
print_logs	181
print_templates	139
print_template_families	20
production_boms	0
production_bom_items	0
production_runs	0
production_run_items	0
product_packs	65
product_pack_warehouse_stock	52
purchases	12
purchase_items	17
purchase_returns	2
purchase_return_items	2
real_estate_units	0
receipts	3
restaurant_categories	7
restaurant_tables	5
role_permissions	0
route_settlements	0
sales	53
sales_items	184
sales_returns	8
sales_return_items	18
schema_migrations	6
scheme_rules	0
stock_adjustments	2
stock_log	221
stock_outs	5
stock_out_items	9
stock_postings	169
stock_transfers	1
stock_transfer_items	1
stock_valuation_adjustments	0
suppliers	13
tax_slabs	7
units	23
users	4
voucher_approval_rules	10
voucher_headers	76
voucher_lines	294
voucher_types	24
warehouses	3
warehouse_stock	51
