function,module,line,snippet
prm_default_config_path,Masters / Common,44,function prm_default_config_path(
prm_load_external_config,Masters / Common,48,function prm_load_external_config(
mysql_dsn,Masters / Common,87,function mysql_dsn(
pdo_options,Masters / Common,104,function pdo_options(
root_db,Masters / Common,112,function root_db(
db,Masters / Common,117,function db(
ensure_runtime_directories,Masters / Common,125,function ensure_runtime_directories(
table_exists_for_setup,Masters / Common,136,function table_exists_for_setup(
ensure_product_pack_schema,Masters / Common,144,function ensure_product_pack_schema(
ensure_release_tracking_schema,Masters / Common,208,function ensure_release_tracking_schema(
ensure_transaction_schema_compatibility,Masters / Common,228,function ensure_transaction_schema_compatibility(
business_type_standard_matrix,Masters / Common,458,function business_type_standard_matrix(
business_type_standard_config,Masters / Common,819,function business_type_standard_config(
business_type_standard_seed_rows,Masters / Common,826,function business_type_standard_seed_rows(
ensure_business_type_standardization_compatibility,Masters / Common,841,function ensure_business_type_standardization_compatibility(
setup,Masters / Common,896,function setup(
ledger_group_report_sections,Accounts,2705,function ledger_group_report_sections(
ledger_group_natures,Accounts,2717,function ledger_group_natures(
ledger_group_default_rows,Accounts,2728,function ledger_group_default_rows(
ledger_group_guess_section,Accounts,2755,function ledger_group_guess_section(
ledger_group_nature_for_section,Accounts,2766,function ledger_group_nature_for_section(
seed_ledger_groups,Accounts,2774,function seed_ledger_groups(
ensure_column,Masters / Common,2790,function ensure_column(
ensure_index,Masters / Common,2794,function ensure_index(
ensure_performance_indexes,Masters / Common,2808,function ensure_performance_indexes(
h,Masters / Common,2846,function h(
money,Masters / Common,2847,function money(
clean_qty,Masters / Common,2848,function clean_qty(
product_pack_display_name,Masters / Common,2849,function product_pack_display_name(
migrate_default_product_packs,Masters / Common,2853,function migrate_default_product_packs(
product_pack_by_id,Masters / Common,2887,function product_pack_by_id(
default_product_pack,Masters / Common,2891,function default_product_pack(
posted_pack_id_for_line,Sales,2895,function posted_pack_id_for_line(
product_pack_snapshot,Masters / Common,2904,function product_pack_snapshot(
transaction_line_pack_id,Masters / Common,2930,function transaction_line_pack_id(
transaction_line_pack_snapshot,Masters / Common,2934,function transaction_line_pack_snapshot(
product_pack_rate_for_level,Masters / Common,2942,function product_pack_rate_for_level(
sync_item_stock_from_packs,Inventory,2954,function sync_item_stock_from_packs(
pack_stock_qty,Inventory,2959,function pack_stock_qty(
pack_stock_locations_for_message,Inventory,2967,function pack_stock_locations_for_message(
adjust_product_pack_stock,Inventory,2975,function adjust_product_pack_stock(
safe_stored_file_label,Masters / Common,2988,function safe_stored_file_label(
document_archive_empty,Print / Documents,2992,function document_archive_empty(
document_archive_sanitize_segment,Print / Documents,2995,function document_archive_sanitize_segment(
document_archive_ensure_dir,Print / Documents,3003,function document_archive_ensure_dir(
document_archive_root,Print / Documents,3008,function document_archive_root(
document_archive_month_folder,Print / Documents,3022,function document_archive_month_folder(
document_archive_category,Print / Documents,3027,function document_archive_category(
document_archive_report_name_from_filename,Print / Documents,3051,function document_archive_report_name_from_filename(
document_archive_meta_for_download,Print / Documents,3056,function document_archive_meta_for_download(
document_archive_folder,Print / Documents,3071,function document_archive_folder(
document_archive_base_name,Print / Documents,3091,function document_archive_base_name(
document_archive_unique_path,Print / Documents,3095,function document_archive_unique_path(
document_archive_total_size,Print / Documents,3105,function document_archive_total_size(
document_archive_format_size,Print / Documents,3110,function document_archive_format_size(
document_archive_log,Print / Documents,3115,function document_archive_log(
document_archive_result,Print / Documents,3146,function document_archive_result(
document_archive_meta_source_time,Print / Documents,3160,function document_archive_meta_source_time(
document_archive_recent_print_pdf,Print / Documents,3169,function document_archive_recent_print_pdf(
document_archive_recent_print_result,Print / Documents,3192,function document_archive_recent_print_result(
document_archive_store_content,Print / Documents,3198,function document_archive_store_content(
document_archive_store_existing_file,Print / Documents,3213,function document_archive_store_existing_file(
document_archive_file_uri,Print / Documents,3230,function document_archive_file_uri(
document_archive_base64_url_encode,Print / Documents,3242,function document_archive_base64_url_encode(
document_archive_base64_url_decode,Print / Documents,3245,function document_archive_base64_url_decode(
document_archive_file_signature,Print / Documents,3252,function document_archive_file_signature(
document_archive_file_url,Print / Documents,3256,function document_archive_file_url(
document_archive_async_print_url,Print / Documents,3263,function document_archive_async_print_url(
document_archive_json_response,Print / Documents,3269,function document_archive_json_response(
document_archive_valid_pdf_path,Print / Documents,3291,function document_archive_valid_pdf_path(
document_archive_file_page,Print / Documents,3302,function document_archive_file_page(
document_archive_pdf_renderers,Print / Documents,3319,function document_archive_pdf_renderers(
document_archive_pdf_renderer,Print / Documents,3344,function document_archive_pdf_renderer(
document_archive_wait_for_file,Print / Documents,3349,function document_archive_wait_for_file(
document_archive_remove_tree,Print / Documents,3359,function document_archive_remove_tree(
document_archive_render_pdf_with_playwright,Print / Documents,3371,function document_archive_render_pdf_with_playwright(
document_archive_render_pdf,Print / Documents,3420,function document_archive_render_pdf(
document_archive_print_html,Print / Documents,3456,function document_archive_print_html(
document_archive_pending_print_pdf,Print / Documents,3483,function document_archive_pending_print_pdf(
document_archive_standard_print_pdf,Print / Documents,3498,function document_archive_standard_print_pdf(
document_archive_doc_no_label,Print / Documents,3557,function document_archive_doc_no_label(
document_archive_caption_action,Print / Documents,3569,function document_archive_caption_action(
document_archive_share_caption,Print / Documents,3588,function document_archive_share_caption(
document_archive_pdf_ready,Print / Documents,3610,function document_archive_pdf_ready(
document_archive_whatsapp_options,Print / Documents,3617,function document_archive_whatsapp_options(
document_archive_notice,Print / Documents,3636,function document_archive_notice(
amount_in_words,Masters / Common,3662,function amount_in_words(
whatsapp_phone,Masters / Common,3707,function whatsapp_phone(
whatsapp_link,Masters / Common,3712,function whatsapp_link(
whatsapp_send_button,Masters / Common,3716,function whatsapp_send_button(
whatsapp_config_pairs,Masters / Common,3737,function whatsapp_config_pairs(
whatsapp_api_config,Masters / Common,3748,function whatsapp_api_config(
whatsapp_api_request,Masters / Common,3773,function whatsapp_api_request(
whatsapp_api_send_document,Print / Documents,3794,function whatsapp_api_send_document(
local_node_executables,Masters / Common,3836,function local_node_executables(
whatsapp_browser_prepare_document,Print / Documents,3858,function whatsapp_browser_prepare_document(
powershell_encoded_command,Masters / Common,3904,function powershell_encoded_command(
whatsapp_local_prepare_document,Print / Documents,3914,function whatsapp_local_prepare_document(
document_archive_whatsapp_send_page,Print / Documents,4005,function document_archive_whatsapp_send_page(
sale_whatsapp_message,Sales,4046,function sale_whatsapp_message(
order_doc_whatsapp_message,Sales,4095,function order_doc_whatsapp_message(
purchase_whatsapp_message,Purchase,4124,function purchase_whatsapp_message(
stock_out_whatsapp_message,Inventory,4147,function stock_out_whatsapp_message(
valid_gstin,GST / Compliance,4169,function valid_gstin(
normalize_gstin,GST / Compliance,4172,function normalize_gstin(
valid_optional_gstin,GST / Compliance,4175,function valid_optional_gstin(
gst_treatment_labels,GST / Compliance,4179,function gst_treatment_labels(
normalize_gst_treatment,GST / Compliance,4193,function normalize_gst_treatment(
gst_treatment_options,GST / Compliance,4209,function gst_treatment_options(
party_gst_transaction_type,GST / Compliance,4217,function party_gst_transaction_type(
normalize_fssai_no,Masters / Common,4224,function normalize_fssai_no(
valid_fssai_no,Masters / Common,4227,function valid_fssai_no(
normalize_pan,Masters / Common,4231,function normalize_pan(
valid_pan,Masters / Common,4234,function valid_pan(
normalize_phone_no,Masters / Common,4238,function normalize_phone_no(
valid_phone_no,Masters / Common,4241,function valid_phone_no(
valid_email_address,Masters / Common,4245,function valid_email_address(
normalize_pincode,Masters / Common,4249,function normalize_pincode(
valid_pincode,Masters / Common,4252,function valid_pincode(
normalize_ifsc,Masters / Common,4256,function normalize_ifsc(
valid_ifsc,Masters / Common,4259,function valid_ifsc(
normalize_vehicle_no,Masters / Common,4263,function normalize_vehicle_no(
valid_vehicle_no,Masters / Common,4266,function valid_vehicle_no(
