layout_title,line,snippet
Document Not Found,9734,layout('Document Not Found'
Dashboard Settings,10817,layout('Dashboard Settings'
ERP Search,10890,layout('ERP Search'
Home,10919,layout('Home'
Company,11435,layout('Company'
Financial Years,11607,layout('Financial Years'
Account Closing & CA Export Center,11764,layout('Account Closing & CA Export Center'
Daily Dispatch Summary,12797,layout('Daily Dispatch Summary'
Item Loading Sheet,12872,layout('Item Loading Sheet'
Route Loading Sheet,12935,layout('Route Loading Sheet'
Pending Dispatch,12962,layout('Pending Dispatch'
Customer Loading Sheet,13158,layout('Customer Loading Sheet'
Customer Loading Sheet,13197,layout('Customer Loading Sheet'
Dispatch Return,13394,layout('Dispatch Return'
Dispatch Return Summary,13431,layout('Dispatch Return Summary'
Loading Sheet,13469,layout('Loading Sheet'
Print Settings,13543,layout('Print Settings'
Excel Import,14304,layout('Excel Import'
Tables,14472,layout('Tables'
Units / Plots,14856,layout('Units / Plots'
Batch Tracking,14890,layout('Batch Tracking'
GST Rates,15451,layout('GST Rates'
Schemes,15519,layout('Schemes'
Units,15608,layout('Units'
Barcode Labels,15760,layout('Barcode Labels'
Edit ,16035,layout('Edit '
Purchase Order Draft,16227,layout('Purchase Order Draft'
Make Purchase,16497,layout('Make Purchase'
Bills,16813,layout('Bills'
Print Bill,17647,layout('Print Bill'
Sales Return,17793,layout('Sales Return'
Return List,17908,layout('Return List'
Credit Note,17959,layout('Credit Note'
Stock Out,18139,layout('Stock Out'
Load Challans,18276,layout('Load Challans'
Stock Out Print,18340,layout('Stock Out Print'
Route Settlement,18486,layout('Route Settlement'
Route Settlement Print,18584,layout('Route Settlement Print'
Purchase List,18680,layout('Purchase List'
Print Bills,18863,layout('Print Bills'
Bulk Print Bills,18931,layout('Bulk Print Bills'
Bulk Print Bills,18962,layout('Bulk Print Bills'
Bulk Print Bills,18978,layout('Bulk Print Bills'
Bulk Print Bills,18997,layout('Bulk Print Bills'
Bulk Print Bills,19010,layout('Bulk Print Bills'
Bulk Print Bills,19022,layout('Bulk Print Bills'
Purchase Print,19129,layout('Purchase Print'
Purchase Return,19251,layout('Purchase Return'
Debit Notes,19368,layout('Debit Notes'
Debit Note,19418,layout('Debit Note'
Stock Left,19497,layout('Stock Left'
Stock Alerts,19606,layout('Stock Alerts'
Expiry Action,19735,layout('Expiry Action'
Stock Movement,19795,layout('Stock Movement'
Negative Stock,19861,layout('Negative Stock'
Warehouses,19969,layout('Warehouses'
Stock Transfer,20007,layout('Stock Transfer'
Transfers,20097,layout('Transfers'
BOM Master,20221,layout('BOM Master'
Production Entry,20359,layout('Production Entry'
Receipt,20471,layout('Receipt'
Payment,20558,layout('Payment'
Expense,20652,layout('Expense'
Voucher Not Found,21232,layout('Voucher Not Found'
ERP Voucher Detail,21272,layout('ERP Voucher Detail'
Voucher Not Found,21350,layout('Voucher Not Found'
Voucher Print Blocked,21370,layout('Voucher Print Blocked'
Accounting Voucher Print,21383,layout('Accounting Voucher Print'
Voucher Review,21566,layout('Voucher Review'
ERP Control Check,21777,layout('ERP Control Check'
ERP Voucher Register,21862,layout('ERP Voucher Register'
ERP Ledger,21920,layout('ERP Ledger'
ERP Day Book,21964,layout('ERP Day Book'
ERP GST Posting Register,22013,layout('ERP GST Posting Register'
ERP Stock Posting Register,22058,layout('ERP Stock Posting Register'
Inventory Valuation,22222,layout('Inventory Valuation'
Ledger Groups,22327,layout('Ledger Groups'
Ledger Heads,22397,layout('Ledger Heads'
Branches,22487,layout('Branches'
Cost Centers,22599,layout('Cost Centers'
Journal Entry,22743,layout('Journal Entry'
Cash/Bank Book,22866,layout('Cash/Bank Book'
Bank Reconciliation,23001,layout('Bank Reconciliation'
Cash Flow Statement,23149,layout('Cash Flow Statement'
Fund Flow Statement,23319,layout('Fund Flow Statement'
Trial Balance,23598,layout('Trial Balance'
Day Book,23687,layout('Day Book'
Outstanding,23855,layout('Outstanding'
Aging Report,23938,layout('Aging Report'
Audit Log,23970,layout('Audit Log'
E-Invoice,24742,layout('E-Invoice'
E-Way Bill,24890,layout('E-Way Bill'
GST Adjustment,25163,layout('GST Adjustment'
Profit & Loss,25439,layout('Profit & Loss'
Stock Ledger Adjustment,25572,layout('Stock Ledger Adjustment'
Balance Sheet,25653,layout('Balance Sheet'
ITC Reconciliation,26072,layout('ITC Reconciliation'
GSTR-9 Annual Return,26206,layout('GSTR-9 Annual Return'
GST Return,26458,layout('GST Return'
Item Movement,26689,layout('Item Movement'
Reports,26776,layout('Reports'
Staff Users,26849,layout('Staff Users'
Permissions,26925,layout('Permissions'
Developer Admin,27795,layout('Developer Admin'
LAN Setup,28416,layout('LAN Setup'
Backup,28626,layout('Backup'
