route,module,line,snippet
order_doc_convert_sale,Sales,9689,index.php?p=order_doc_convert_sale
order_doc_convert_purchase,Sales,9692,index.php?p=order_doc_convert_purchase
order_doc_status,Sales,9700,index.php?p=order_doc_status
receipt_print,Accounts,9720,index.php?p=receipt_print
payment_print,Accounts,9721,index.php?p=payment_print
erp_voucher,Accounts,9723,index.php?p=erp_voucher
receipt_print,Accounts,9757,index.php?p=receipt_print
payment_print,Accounts,9758,index.php?p=payment_print
erp_voucher,Accounts,9759,index.php?p=erp_voucher
dashboard,Masters / Common,10341,index.php?p=dashboard
developer_login,Administration,10357,index.php?p=developer_login
logout,Masters / Common,10357,index.php?p=logout
dashboard,Masters / Common,10676,index.php?p=dashboard
developer_dashboard,Administration,10683,index.php?p=developer_dashboard
dashboard,Masters / Common,10698,index.php?p=dashboard
dashboard_settings,Administration,10699,index.php?p=dashboard_settings
sale_new,Sales,10701,index.php?p=sale_new
purchase_new,Purchase,10702,index.php?p=purchase_new
sale_new,Sales,10709,index.php?p=sale_new
purchase_new,Purchase,10710,index.php?p=purchase_new
portal_search,Masters / Common,10711,index.php?p=portal_search
print_bills,Print / Documents,10712,index.php?p=print_bills
stock,Inventory,10713,index.php?p=stock
dashboard_settings,Administration,10714,index.php?p=dashboard_settings
dashboard,Masters / Common,10834,index.php?p=dashboard
sale_print,Sales,10882,index.php?p=sale_print
purchase_print,Purchase,10883,index.php?p=purchase_print
customers,Masters / Common,10884,index.php?p=customers
suppliers,Masters / Common,10885,index.php?p=suppliers
items,Inventory,10886,index.php?p=items
receipt_print,Accounts,10887,index.php?p=receipt_print
payment_print,Accounts,10888,index.php?p=payment_print
print_bills,Print / Documents,11023,index.php?p=print_bills
print_bills,Print / Documents,11024,index.php?p=print_bills
print_bills,Print / Documents,11025,index.php?p=print_bills
print_bills,Print / Documents,11026,index.php?p=print_bills
backup,Administration,11095,index.php?p=backup
dashboard_settings,Administration,11096,index.php?p=dashboard_settings
dashboard,Masters / Common,11097,index.php?p=dashboard
stock_alerts,Inventory,11282,index.php?p=stock_alerts
erp_voucher,Accounts,11636,index.php?p=erp_voucher
closing_management,Masters / Common,11767,index.php?p=closing_management
closing_management,Masters / Common,11811,index.php?p=closing_management
closing_management,Masters / Common,11820,index.php?p=closing_management
customer_dispatch_sheet,Inventory,11964,index.php?p=customer_dispatch_sheet
sale_print,Sales,11971,index.php?p=sale_print
delivery_challan_print,Print / Documents,11972,index.php?p=delivery_challan_print
stock_out_print,Inventory,11973,index.php?p=stock_out_print
stock_log,Inventory,12897,index.php?p=stock_log
stock_log,Inventory,12907,index.php?p=stock_log
dispatch_original_open,Inventory,13198,index.php?p=dispatch_original_open
dispatch_return_entry,Inventory,13200,index.php?p=dispatch_return_entry
customer_dispatch_sheet,Inventory,13217,index.php?p=customer_dispatch_sheet
daily_dispatch_summary,Inventory,13220,index.php?p=daily_dispatch_summary
dispatch_status_update,Inventory,13222,index.php?p=dispatch_status_update
sale_return_print,Sales,13233,index.php?p=sale_return_print
customer_dispatch_sheet,Inventory,13402,index.php?p=customer_dispatch_sheet
customer_dispatch_sheet,Inventory,13438,index.php?p=customer_dispatch_sheet
sale_return_print,Sales,13438,index.php?p=sale_return_print
daily_dispatch_summary,Inventory,13440,index.php?p=daily_dispatch_summary
daily_dispatch_summary,Inventory,13440,index.php?p=daily_dispatch_summary
sales,Sales,13580,index.php?p=sales
master_import_export,Masters / Common,14309,index.php?p=master_import_export
master_import_export,Masters / Common,14310,index.php?p=master_import_export
master_import_export,Masters / Common,14311,index.php?p=master_import_export
master_import_export,Masters / Common,14312,index.php?p=master_import_export
master_import_export,Masters / Common,14315,index.php?p=master_import_export
master_import_export,Masters / Common,14316,index.php?p=master_import_export
master_import_export,Masters / Common,14317,index.php?p=master_import_export
master_import_export,Masters / Common,14318,index.php?p=master_import_export
master_import_export,Masters / Common,14321,index.php?p=master_import_export
master_import_export,Masters / Common,14322,index.php?p=master_import_export
master_import_export,Masters / Common,14323,index.php?p=master_import_export
master_import_export,Masters / Common,14324,index.php?p=master_import_export
master_import_export,Masters / Common,14327,index.php?p=master_import_export
master_import_export,Masters / Common,14328,index.php?p=master_import_export
master_import_export,Masters / Common,14329,index.php?p=master_import_export
master_import_export,Masters / Common,14330,index.php?p=master_import_export
item_categories,Inventory,14418,index.php?p=item_categories
item_categories,Inventory,14426,index.php?p=item_categories
restaurant_tables,Restaurant / Pharmacy,14483,index.php?p=restaurant_tables
restaurant_tables,Restaurant / Pharmacy,14491,index.php?p=restaurant_tables
real_estate_units,Real Estate,14870,index.php?p=real_estate_units
real_estate_units,Real Estate,14874,index.php?p=real_estate_units
batch_tracking,Inventory,14891,index.php?p=batch_tracking
items,Inventory,15338,index.php?p=items
barcode_labels,Masters / Common,15344,index.php?p=barcode_labels
items,Inventory,15344,index.php?p=items
tax_slabs,Masters / Common,15460,index.php?p=tax_slabs
tax_slabs,Masters / Common,15465,index.php?p=tax_slabs
sale_new,Sales,15533,index.php?p=sale_new
units,Masters / Common,15616,index.php?p=units
units,Masters / Common,15621,index.php?p=units
items,Inventory,15772,index.php?p=items
barcode_labels,Masters / Common,15787,index.php?p=barcode_labels
stock_alerts,Inventory,16254,index.php?p=stock_alerts
purchase_order_new,Sales,16254,index.php?p=purchase_order_new
order_doc_convert_sale,Sales,16336,index.php?p=order_doc_convert_sale
order_doc_convert_purchase,Sales,16336,index.php?p=order_doc_convert_purchase
order_doc_status,Sales,16336,index.php?p=order_doc_status
order_doc_status,Sales,16336,index.php?p=order_doc_status
order_doc_status,Sales,16336,index.php?p=order_doc_status
order_doc_status,Sales,16336,index.php?p=order_doc_status
order_doc_status,Sales,16336,index.php?p=order_doc_status
order_doc_status,Sales,16336,index.php?p=order_doc_status
order_doc_convert_sale,Sales,16343,index.php?p=order_doc_convert_sale
order_doc_convert_purchase,Sales,16343,index.php?p=order_doc_convert_purchase
order_doc_status,Sales,16343,index.php?p=order_doc_status
order_doc_status,Sales,16343,index.php?p=order_doc_status
order_doc_status,Sales,16343,index.php?p=order_doc_status
order_doc_status,Sales,16343,index.php?p=order_doc_status
