route,module,line,snippet
developer_login,Administration,9940,case 'developer_login':
developer_logout,Administration,9941,case 'developer_logout':
developer_dashboard,Administration,9942,case 'developer_dashboard':
document_archive_file,Print / Documents,9943,case 'document_archive_file':
document_archive_whatsapp_send,Print / Documents,9944,case 'document_archive_whatsapp_send':
portal_search,Masters / Common,9945,case 'portal_search':
dashboard_settings,Administration,9946,case 'dashboard_settings':
company,Administration,9947,case 'company':
customers,Masters / Common,9948,case 'customers':
suppliers,Masters / Common,9949,case 'suppliers':
brands,Masters / Common,9950,case 'brands':
manufacturers,Masters / Common,9951,case 'manufacturers':
doctors,Restaurant / Pharmacy,9952,case 'doctors':
agents,Masters / Common,9953,case 'agents':
projects,Masters / Common,9954,case 'projects':
property_types,Real Estate,9955,case 'property_types':
real_estate_units,Real Estate,9956,case 'real_estate_units':
restaurant_categories,Restaurant / Pharmacy,9957,case 'restaurant_categories':
item_categories,Inventory,9958,case 'item_categories':
restaurant_tables,Restaurant / Pharmacy,9959,case 'restaurant_tables':
items,Inventory,9960,case 'items':
item_duplicate_check,Inventory,9961,case 'item_duplicate_check':
units,Masters / Common,9962,case 'units':
tax_slabs,Masters / Common,9963,case 'tax_slabs':
schemes,Masters / Common,9964,case 'schemes':
master_import_export,Masters / Common,9965,case 'master_import_export':
barcode_labels,Masters / Common,9966,case 'barcode_labels':
sale_new,Sales,9967,case 'sale_new':
pos_billing,Sales,9968,case 'pos_billing':
electronics_pos_billing,Sales,9969,case 'electronics_pos_billing':
pharmacy_retail_billing,Restaurant / Pharmacy,9970,case 'pharmacy_retail_billing':
pharmacy_wholesale_billing,Sales,9971,case 'pharmacy_wholesale_billing':
prescription_billing,Restaurant / Pharmacy,9972,case 'prescription_billing':
pos_dine_in,Sales,9973,case 'pos_dine_in':
pos_take_away,Sales,9974,case 'pos_take_away':
pos_delivery,Sales,9975,case 'pos_delivery':
sales,Sales,9976,case 'sales':
print_bills,Print / Documents,9977,case 'print_bills':
print_bills_bulk,Print / Documents,9978,case 'print_bills_bulk':
quotation_new,Sales,9979,case 'quotation_new':
quotations,Sales,9980,case 'quotations':
quotation_edit,Sales,9981,case 'quotation_edit':
quotation_print,Sales,9982,case 'quotation_print':
sales_order_new,Sales,9983,case 'sales_order_new':
sales_orders,Sales,9984,case 'sales_orders':
sales_order_edit,Sales,9985,case 'sales_order_edit':
kot_new,Sales,9986,case 'kot_new':
ready_orders,Sales,9987,case 'ready_orders':
sales_order_print,Sales,9988,case 'sales_order_print':
sale_print,Sales,9989,case 'sale_print':
sale_cancel,Sales,9990,case 'sale_cancel':
sale_return,Sales,9991,case 'sale_return':
sales_returns,Sales,9992,case 'sales_returns':
sale_return_print,Sales,9993,case 'sale_return_print':
sale_return_cancel,Sales,9994,case 'sale_return_cancel':
purchase_new,Purchase,9995,case 'purchase_new':
purchases,Purchase,9996,case 'purchases':
purchase_order_new,Sales,9997,case 'purchase_order_new':
purchase_plan_order,Sales,9998,case 'purchase_plan_order':
purchase_orders,Sales,9999,case 'purchase_orders':
purchase_order_edit,Sales,10000,case 'purchase_order_edit':
purchase_order_print,Sales,10001,case 'purchase_order_print':
purchase_print,Purchase,10002,case 'purchase_print':
purchase_cancel,Purchase,10003,case 'purchase_cancel':
purchase_return,Purchase,10004,case 'purchase_return':
purchase_returns,Purchase,10005,case 'purchase_returns':
purchase_return_print,Purchase,10006,case 'purchase_return_print':
purchase_return_cancel,Purchase,10007,case 'purchase_return_cancel':
