table	column	type	nullable	default	key	extra
account_ledgers	id	INTEGER	YES		PRI	
account_ledgers	name	TEXT	YES			
account_ledgers	group_name	TEXT	YES			
account_ledgers	opening_dr	REAL	YES			
account_ledgers	opening_cr	REAL	YES			
account_ledgers	is_system	INTEGER	YES			
account_ledgers	created_at	TEXT	YES			
app_release_versions	version_key	TEXT	YES		PRI	
app_release_versions	version_value	TEXT	YES			
app_release_versions	notes	TEXT	YES			
app_release_versions	updated_at	TEXT	YES			
app_settings	setting_key	TEXT	YES		PRI	
app_settings	setting_value	TEXT	YES			
app_settings	updated_at	TEXT	YES			
audit_logs	id	INTEGER	YES		PRI	
audit_logs	user_id	INTEGER	YES			
audit_logs	user_name	TEXT	YES			
audit_logs	action	TEXT	YES			
audit_logs	ref_type	TEXT	YES			
audit_logs	ref_no	TEXT	YES			
audit_logs	details	TEXT	YES			
audit_logs	ip_address	TEXT	YES			
audit_logs	created_at	TEXT	YES			
backup_logs	id	INTEGER	YES		PRI	
backup_logs	action	TEXT	YES			
backup_logs	file_path	TEXT	YES			
backup_logs	status	TEXT	YES			
backup_logs	message	TEXT	YES			
backup_logs	created_at	TEXT	YES			
bank_reconciliations	id	INTEGER	YES		PRI	
bank_reconciliations	ledger_posting_id	INTEGER	YES			
bank_reconciliations	voucher_id	INTEGER	YES			
bank_reconciliations	bank_ledger	TEXT	YES			
bank_reconciliations	voucher_date	TEXT	YES			
bank_reconciliations	source_ref	TEXT	YES			
bank_reconciliations	debit	REAL	YES			
bank_reconciliations	credit	REAL	YES			
bank_reconciliations	clearance_status	TEXT	YES			
bank_reconciliations	cleared_date	TEXT	YES			
bank_reconciliations	bank_reference	TEXT	YES			
bank_reconciliations	notes	TEXT	YES			
bank_reconciliations	created_by	INTEGER	YES			
bank_reconciliations	created_at	TEXT	YES			
bank_reconciliations	updated_at	TEXT	YES			
banks	id	INTEGER	YES		PRI	
banks	code	TEXT	YES			
banks	name	TEXT	YES			
banks	account_number	TEXT	YES			
banks	ifsc	TEXT	YES			
banks	branch	TEXT	YES			
banks	account_type	TEXT	YES			
banks	opening_balance	REAL	YES	0		
banks	is_active	INTEGER	YES	1		
branches	id	INTEGER	YES		PRI	
branches	name	TEXT	YES			
branches	code	TEXT	YES			
branches	gstin	TEXT	YES			
branches	state	TEXT	YES			
branches	address	TEXT	YES			
branches	is_default	INTEGER	YES			
branches	is_active	INTEGER	YES			
branches	notes	TEXT	YES			
branches	created_at	TEXT	YES			
branches	city	TEXT	YES			
branches	pin_code	TEXT	YES			
branches	phone	TEXT	YES			
branches	email	TEXT	YES			
business_masters	id	INTEGER	YES		PRI	
business_masters	business_type_code	TEXT	YES			
business_masters	master_type	TEXT	YES			
business_masters	code	TEXT	YES			
business_masters	name	TEXT	YES			
business_masters	phone	TEXT	YES			
business_masters	email	TEXT	YES			
business_masters	address	TEXT	YES			
business_masters	notes	TEXT	YES			
business_masters	is_active	INTEGER	YES			
business_masters	created_at	TEXT	YES			
business_masters	supplier_id	INTEGER	YES			
business_masters	contact_name	TEXT	YES			
business_masters	website	TEXT	YES			
business_masters	gstin	TEXT	YES			
business_registers	id	INTEGER	YES		PRI	
business_registers	business_type_code	TEXT	YES			
business_registers	record_type	TEXT	YES			
business_registers	record_no	TEXT	YES			
business_registers	record_date	TEXT	YES			
business_registers	party_name	TEXT	YES			
business_registers	phone	TEXT	YES			
business_registers	reference	TEXT	YES			
business_registers	status	TEXT	YES			
business_registers	amount	REAL	YES			
business_registers	due_date	TEXT	YES			
business_registers	details_json	TEXT	YES			
business_registers	notes	TEXT	YES			
business_registers	created_at	TEXT	YES			
ca_export_logs	id	INTEGER	YES		PRI	
ca_export_logs	company_id	INTEGER	YES			
ca_export_logs	company_name	TEXT	YES			
ca_export_logs	financial_year_id	INTEGER	YES			
ca_export_logs	financial_year_label	TEXT	YES			
ca_export_logs	closing_period_id	INTEGER	YES			
ca_export_logs	closing_type	TEXT	YES			
ca_export_logs	from_date	TEXT	YES			
ca_export_logs	to_date	TEXT	YES			
ca_export_logs	ca_email	TEXT	YES			
ca_export_logs	export_format	TEXT	YES			
ca_export_logs	file_path	TEXT	YES			
ca_export_logs	email_status	TEXT	YES			
ca_export_logs	email_message	TEXT	YES			
ca_export_logs	created_by	INTEGER	YES			
ca_export_logs	created_by_name	TEXT	YES			
ca_export_logs	created_at	TEXT	YES			
ca_export_logs	itr_form	TEXT	YES			
ca_export_logs	assessment_year	TEXT	YES			
ca_export_logs	schema_version	TEXT	YES			
ca_export_logs	close_decision	TEXT	YES			
