table	index	non_unique	seq	column
app_release_versions	sqlite_autoindex_app_release_versions_1	0	1	version_key
app_settings	sqlite_autoindex_app_settings_1	0	1	setting_key
communication_contact_preferences	sqlite_autoindex_communication_contact_preferences_1	0	1	channel
communication_contact_preferences	sqlite_autoindex_communication_contact_preferences_1	0	2	document_type
communication_logs	idx_communication_logs_retry	1	2	channel
communication_logs	idx_communication_logs_retry	1	7	status
communication_logs	idx_communication_logs_retry	1	11	next_retry_at
communication_logs	idx_communication_logs_retry	1	16	updated_at
communication_templates	idx_communication_templates_lookup	1	3	channel
communication_templates	idx_communication_templates_lookup	1	4	document_type
communication_templates	idx_communication_templates_lookup	1	8	is_active
communication_templates	sqlite_autoindex_communication_templates_1	0	2	template_code
migration_meta	sqlite_autoindex_migration_meta_1	0	1	key
numbering_series	sqlite_autoindex_numbering_series_1	0	2	document_type
numbering_series	sqlite_autoindex_numbering_series_1	0	6	financial_year_label
numbering_series	sqlite_autoindex_numbering_series_1	0	7	branch_code
numbering_series	sqlite_autoindex_numbering_series_1	0	8	warehouse_code
numbering_series	sqlite_autoindex_numbering_series_1	0	9	business_type_code
price_levels	sqlite_autoindex_price_levels_1	0	2	code
uoms	sqlite_autoindex_uoms_1	0	2	code
