table	estimated_rows
account_ledgers	not_collected
app_release_versions	not_collected
app_settings	not_collected
audit_logs	not_collected
backup_logs	not_collected
bank_reconciliations	not_collected
banks	not_collected
branches	not_collected
business_masters	not_collected
business_registers	not_collected
ca_export_logs	not_collected
ca_json_templates	not_collected
closing_periods	not_collected
communication_contact_preferences	not_collected
communication_logs	not_collected
communication_templates	not_collected
company	not_collected
company_profile_audit	not_collected
cost_centers	not_collected
customers	not_collected
data_maintenance_logs	not_collected
data_maintenance_opening_balances	not_collected
dev_business_types	not_collected
dev_companies	not_collected
dev_company_modules	not_collected
dev_invoice_templates	not_collected
dev_login_history	not_collected
dev_modules	not_collected
dev_notifications	not_collected
dev_subscription_plans	not_collected
developer_login_attempts	not_collected
dispatch_return_items	not_collected
dispatch_returns	not_collected
document_archive_logs	not_collected
einvoices	not_collected
eway_bills	not_collected
expense_ledgers	not_collected
expenses	not_collected
financial_periods	not_collected
financial_year_events	not_collected
financial_years	not_collected
gst_adjustments	not_collected
gst_api_logs	not_collected
gst_itc_reconciliations	not_collected
gst_postings	not_collected
gst_return_filings	not_collected
item_batches	not_collected
item_categories	not_collected
items	not_collected
journal_entries	not_collected
ledger_groups	not_collected
ledger_postings	not_collected
license	not_collected
license_activation	not_collected
license_renewal_history	not_collected
migration_meta	not_collected
numbering_series	not_collected
numbering_series_reservations	not_collected
order_document_items	not_collected
order_documents	not_collected
pack_conversions	not_collected
party_price_defaults	not_collected
payment_terms	not_collected
payments	not_collected
price_levels	not_collected
print_batches	not_collected
print_logs	not_collected
print_template_families	not_collected
print_templates	not_collected
product_pack_warehouse_stock	not_collected
product_packs	not_collected
product_prices	not_collected
production_bom_items	not_collected
production_boms	not_collected
production_run_items	not_collected
production_runs	not_collected
purchase_items	not_collected
purchase_return_items	not_collected
purchase_returns	not_collected
purchases	not_collected
real_estate_units	not_collected
receipts	not_collected
restaurant_categories	not_collected
restaurant_tables	not_collected
role_permissions	not_collected
route_settlements	not_collected
routes	not_collected
sales	not_collected
sales_items	not_collected
sales_return_items	not_collected
sales_returns	not_collected
salesmen	not_collected
schema_migrations	not_collected
scheme_rules	not_collected
stock_adjustments	not_collected
stock_log	not_collected
stock_out_items	not_collected
stock_outs	not_collected
stock_postings	not_collected
stock_transfer_items	not_collected
stock_transfers	not_collected
stock_valuation_adjustments	not_collected
suppliers	not_collected
tax_codes	not_collected
tax_slabs	not_collected
transporters	not_collected
units	not_collected
uoms	not_collected
users	not_collected
vehicles	not_collected
voucher_approval_rules	not_collected
voucher_headers	not_collected
voucher_lines	not_collected
voucher_types	not_collected
warehouse_stock	not_collected
warehouses	not_collected
